Grid Search Results:
lr=0.1, alpha=0.0, batch_size=64, hidden_dims=25 => Accuracy: 85.00%
lr=0.1, alpha=0.0, batch_size=64, hidden_dims=50 => Accuracy: 86.00%
lr=0.1, alpha=0.0, batch_size=64, hidden_dims=100 => Accuracy: 87.50%
lr=0.1, alpha=0.0, batch_size=128, hidden_dims=25 => Accuracy: 89.00%
lr=0.1, alpha=0.0, batch_size=128, hidden_dims=50 => Accuracy: 85.00%
lr=0.1, alpha=0.0, batch_size=128, hidden_dims=100 => Accuracy: 87.50%
lr=0.1, alpha=0.0, batch_size=512, hidden_dims=25 => Accuracy: 85.00%
lr=0.1, alpha=0.0, batch_size=512, hidden_dims=50 => Accuracy: 87.50%
lr=0.1, alpha=0.0, batch_size=512, hidden_dims=100 => Accuracy: 80.50%
lr=0.1, alpha=0.1, batch_size=64, hidden_dims=25 => Accuracy: 49.50%
lr=0.1, alpha=0.1, batch_size=64, hidden_dims=50 => Accuracy: 48.00%
lr=0.1, alpha=0.1, batch_size=64, hidden_dims=100 => Accuracy: 33.50%
lr=0.1, alpha=0.1, batch_size=128, hidden_dims=25 => Accuracy: 47.00%
lr=0.1, alpha=0.1, batch_size=128, hidden_dims=50 => Accuracy: 56.00%
lr=0.1, alpha=0.1, batch_size=128, hidden_dims=100 => Accuracy: 41.50%
lr=0.1, alpha=0.1, batch_size=512, hidden_dims=25 => Accuracy: 50.50%
lr=0.1, alpha=0.1, batch_size=512, hidden_dims=50 => Accuracy: 55.00%
lr=0.1, alpha=0.1, batch_size=512, hidden_dims=100 => Accuracy: 32.00%
lr=0.1, alpha=0.5, batch_size=64, hidden_dims=25 => Accuracy: 28.00%
lr=0.1, alpha=0.5, batch_size=64, hidden_dims=50 => Accuracy: 51.00%
lr=0.1, alpha=0.5, batch_size=64, hidden_dims=100 => Accuracy: 53.50%
lr=0.1, alpha=0.5, batch_size=128, hidden_dims=25 => Accuracy: 54.50%
lr=0.1, alpha=0.5, batch_size=128, hidden_dims=50 => Accuracy: 55.00%
lr=0.1, alpha=0.5, batch_size=128, hidden_dims=100 => Accuracy: 48.50%
lr=0.1, alpha=0.5, batch_size=512, hidden_dims=25 => Accuracy: 50.00%
lr=0.1, alpha=0.5, batch_size=512, hidden_dims=50 => Accuracy: 52.50%
lr=0.1, alpha=0.5, batch_size=512, hidden_dims=100 => Accuracy: 59.00%
lr=0.5, alpha=0.0, batch_size=64, hidden_dims=25 => Accuracy: 92.50%
lr=0.5, alpha=0.0, batch_size=64, hidden_dims=50 => Accuracy: 93.50%
lr=0.5, alpha=0.0, batch_size=64, hidden_dims=100 => Accuracy: 92.50%
lr=0.5, alpha=0.0, batch_size=128, hidden_dims=25 => Accuracy: 87.50%
lr=0.5, alpha=0.0, batch_size=128, hidden_dims=50 => Accuracy: 93.50%
lr=0.5, alpha=0.0, batch_size=128, hidden_dims=100 => Accuracy: 98.50%
lr=0.5, alpha=0.0, batch_size=512, hidden_dims=25 => Accuracy: 92.00%
lr=0.5, alpha=0.0, batch_size=512, hidden_dims=50 => Accuracy: 98.00%
lr=0.5, alpha=0.0, batch_size=512, hidden_dims=100 => Accuracy: 98.00%
lr=0.5, alpha=0.1, batch_size=64, hidden_dims=25 => Accuracy: 45.00%
lr=0.5, alpha=0.1, batch_size=64, hidden_dims=50 => Accuracy: 47.50%
lr=0.5, alpha=0.1, batch_size=64, hidden_dims=100 => Accuracy: 44.50%
lr=0.5, alpha=0.1, batch_size=128, hidden_dims=25 => Accuracy: 41.50%
lr=0.5, alpha=0.1, batch_size=128, hidden_dims=50 => Accuracy: 75.50%
lr=0.5, alpha=0.1, batch_size=128, hidden_dims=100 => Accuracy: 25.50%
lr=0.5, alpha=0.1, batch_size=512, hidden_dims=25 => Accuracy: 42.50%
lr=0.5, alpha=0.1, batch_size=512, hidden_dims=50 => Accuracy: 48.50%
lr=0.5, alpha=0.1, batch_size=512, hidden_dims=100 => Accuracy: 44.50%
lr=0.5, alpha=0.5, batch_size=64, hidden_dims=25 => Accuracy: 52.00%
lr=0.5, alpha=0.5, batch_size=64, hidden_dims=50 => Accuracy: 56.50%
lr=0.5, alpha=0.5, batch_size=64, hidden_dims=100 => Accuracy: 44.50%
lr=0.5, alpha=0.5, batch_size=128, hidden_dims=25 => Accuracy: 49.50%
lr=0.5, alpha=0.5, batch_size=128, hidden_dims=50 => Accuracy: 45.50%
lr=0.5, alpha=0.5, batch_size=128, hidden_dims=100 => Accuracy: 47.00%
lr=0.5, alpha=0.5, batch_size=512, hidden_dims=25 => Accuracy: 49.50%
lr=0.5, alpha=0.5, batch_size=512, hidden_dims=50 => Accuracy: 53.50%
lr=0.5, alpha=0.5, batch_size=512, hidden_dims=100 => Accuracy: 43.50%

Best hyperparameters: lr=0.5, alpha=0.0, batch_size=128, hidden_dims=100 with Accuracy: 98.50%
