Grid Search Results:
lr=0.0001, alpha=0.0, batch_size=128, hidden_dims=1 => MSE: 1.7213
lr=0.0001, alpha=0.0, batch_size=128, hidden_dims=5 => MSE: 1.0653
lr=0.0001, alpha=0.0, batch_size=128, hidden_dims=10 => MSE: 2.2900
lr=0.0001, alpha=0.0, batch_size=512, hidden_dims=1 => MSE: 0.7970
lr=0.0001, alpha=0.0, batch_size=512, hidden_dims=5 => MSE: 0.6331
lr=0.0001, alpha=0.0, batch_size=512, hidden_dims=10 => MSE: 1.4936
lr=0.0001, alpha=0.1, batch_size=128, hidden_dims=1 => MSE: 1.0134
lr=0.0001, alpha=0.1, batch_size=128, hidden_dims=5 => MSE: 0.3206
lr=0.0001, alpha=0.1, batch_size=128, hidden_dims=10 => MSE: 8.7957
lr=0.0001, alpha=0.1, batch_size=512, hidden_dims=1 => MSE: 0.2473
lr=0.0001, alpha=0.1, batch_size=512, hidden_dims=5 => MSE: 5.1968
lr=0.0001, alpha=0.1, batch_size=512, hidden_dims=10 => MSE: 0.3936
lr=0.0001, alpha=0.5, batch_size=128, hidden_dims=1 => MSE: 0.5832
lr=0.0001, alpha=0.5, batch_size=128, hidden_dims=5 => MSE: 0.5686
lr=0.0001, alpha=0.5, batch_size=128, hidden_dims=10 => MSE: 0.8311
lr=0.0001, alpha=0.5, batch_size=512, hidden_dims=1 => MSE: 0.3449
lr=0.0001, alpha=0.5, batch_size=512, hidden_dims=5 => MSE: 0.8243
lr=0.0001, alpha=0.5, batch_size=512, hidden_dims=10 => MSE: 0.7787
lr=0.0005, alpha=0.0, batch_size=128, hidden_dims=1 => MSE: 0.0590
lr=0.0005, alpha=0.0, batch_size=128, hidden_dims=5 => MSE: 0.0731
lr=0.0005, alpha=0.0, batch_size=128, hidden_dims=10 => MSE: 1.1300
lr=0.0005, alpha=0.0, batch_size=512, hidden_dims=1 => MSE: 0.0527
lr=0.0005, alpha=0.0, batch_size=512, hidden_dims=5 => MSE: 0.3500
lr=0.0005, alpha=0.0, batch_size=512, hidden_dims=10 => MSE: 1.0111
lr=0.0005, alpha=0.1, batch_size=128, hidden_dims=1 => MSE: 0.1374
lr=0.0005, alpha=0.1, batch_size=128, hidden_dims=5 => MSE: 0.5381
lr=0.0005, alpha=0.1, batch_size=128, hidden_dims=10 => MSE: 0.0545
lr=0.0005, alpha=0.1, batch_size=512, hidden_dims=1 => MSE: 0.2025
lr=0.0005, alpha=0.1, batch_size=512, hidden_dims=5 => MSE: 0.2436
lr=0.0005, alpha=0.1, batch_size=512, hidden_dims=10 => MSE: 2.0692
lr=0.0005, alpha=0.5, batch_size=128, hidden_dims=1 => MSE: 0.2708
lr=0.0005, alpha=0.5, batch_size=128, hidden_dims=5 => MSE: 0.3431
lr=0.0005, alpha=0.5, batch_size=128, hidden_dims=10 => MSE: 3.9182
lr=0.0005, alpha=0.5, batch_size=512, hidden_dims=1 => MSE: 1.8840
lr=0.0005, alpha=0.5, batch_size=512, hidden_dims=5 => MSE: 0.4313
lr=0.0005, alpha=0.5, batch_size=512, hidden_dims=10 => MSE: 4.8300
lr=0.001, alpha=0.0, batch_size=128, hidden_dims=1 => MSE: 1.3231
lr=0.001, alpha=0.0, batch_size=128, hidden_dims=5 => MSE: 1.6689
lr=0.001, alpha=0.0, batch_size=128, hidden_dims=10 => MSE: 0.6140
lr=0.001, alpha=0.0, batch_size=512, hidden_dims=1 => MSE: 0.2357
lr=0.001, alpha=0.0, batch_size=512, hidden_dims=5 => MSE: 9.1855
lr=0.001, alpha=0.0, batch_size=512, hidden_dims=10 => MSE: 0.0533
lr=0.001, alpha=0.1, batch_size=128, hidden_dims=1 => MSE: 0.1219
lr=0.001, alpha=0.1, batch_size=128, hidden_dims=5 => MSE: 0.2531
lr=0.001, alpha=0.1, batch_size=128, hidden_dims=10 => MSE: 0.2885
lr=0.001, alpha=0.1, batch_size=512, hidden_dims=1 => MSE: 0.1309
lr=0.001, alpha=0.1, batch_size=512, hidden_dims=5 => MSE: 2.5408
lr=0.001, alpha=0.1, batch_size=512, hidden_dims=10 => MSE: 0.8283
lr=0.001, alpha=0.5, batch_size=128, hidden_dims=1 => MSE: 0.7536
lr=0.001, alpha=0.5, batch_size=128, hidden_dims=5 => MSE: 0.3088
lr=0.001, alpha=0.5, batch_size=128, hidden_dims=10 => MSE: 3.3385
lr=0.001, alpha=0.5, batch_size=512, hidden_dims=1 => MSE: 1.5316
lr=0.001, alpha=0.5, batch_size=512, hidden_dims=5 => MSE: 0.5914
lr=0.001, alpha=0.5, batch_size=512, hidden_dims=10 => MSE: 10.8324

Best hyperparameters: lr=0.0005, alpha=0.0, batch_size=512, hidden_dims=1 with MSE: 0.0527
